run_id,model_name,mode,age,gender,sexual_orientation,city_of_living,employment_status,education_level,marital_status,children,migration_status,religious_beliefs,parent_1_education,parent_2_education,hobbies,fav_subjects,hat_subjects,ocean_openness_score,ocean_openness_level,ocean_conscientiousness_score,ocean_conscientiousness_level,ocean_extraversion_score,ocean_extraversion_level,ocean_agreeableness_score,ocean_agreeableness_level,ocean_neuroticism_score,ocean_neuroticism_level,amas_score,mseaq_score,anxiety_score,anxiety_level,gender_level
0809f4d9b6,mistral-small-latest,human,60,woman,heterosexual,Bari,employed full-time,bachelor's degree,divorced,0,immigrant,Christianity,lower secondary,no formal education,"hiking, painting, board games","economics, biology","philosophy, literature",82,high,10,low,23,low,79,high,95,high,41.0,81.0,122.0,high_anxiety,female
bf5c0fb4b1,mistral-small-latest,human,25,woman,heterosexual,Bologna,unemployed,upper secondary,single,0,native-born Italian,Islam,primary school,bachelor's degree,"classical music, running, birdwatching","computer science, economics","art, physics",47,moderate,90,high,92,high,74,high,83,high,41.0,80.0,121.0,high_anxiety,female
459ed72a52,mistral-small-latest,human,30,genderqueer,heterosexual,Washington DC,employed full-time,bachelor's degree,single,0,native-born American,Hinduism,no formal education,no formal education,"travel, board games, cinema","history, physics","computer science, chemistry",68,high,77,high,39,moderate,46,moderate,83,high,36.0,81.0,117.0,high_anxiety,other
4991561b28,mistral-small-latest,human,30,woman,heterosexual,Los Angeles,unemployed,lower secondary,married,0,immigrant,Christianity,lower secondary,no formal education,"birdwatching, volunteering, gardening, cycling, hiking","literature, biology","history, art",33,moderate,45,moderate,33,moderate,81,high,77,high,32.0,82.0,114.0,high_anxiety,female
70bb2c18ea,mistral-small-latest,human,35,woman,heterosexual,Milan,employed full-time,lower secondary,single,1,native-born Italian,Atheist,lower secondary,lower secondary,"painting, cycling, volunteering, birdwatching, hiking","computer science, history","art, physics",67,high,89,high,73,high,62,moderate,78,high,31.0,80.0,111.0,high_anxiety,female
ded76e6f29,mistral-small-latest,human,19,woman,heterosexual,Philadelphia,unemployed,lower secondary,single,0,immigrant,Agnostic,PhD,bachelor's degree,"football (calcio), running, knitting","physics, history","economics, literature",40,moderate,47,moderate,39,moderate,82,high,19,low,36.0,85.0,121.0,high_anxiety,female
f8c237ef2f,mistral-small-latest,human,25,non-binary,homosexual,Lecce,employed full-time,vocational diploma,married,2,native-born Italian,Islam,no formal education,master's degree,"board games, rock climbing, hiking, travel","physics, history","philosophy, biology",44,moderate,61,moderate,82,high,80,high,30,low,39.0,83.0,122.0,high_anxiety,other
fe53f594f2,mistral-small-latest,human,27,genderqueer,asexual,Rome,unemployed,upper secondary,in a relationship,0,native-born Italian,Judaism,PhD,PhD,"birdwatching, travel, painting","art, computer science","biology, literature",14,low,8,low,99,high,31,low,15,low,29.0,87.0,116.0,high_anxiety,other
59b08e4338,mistral-small-latest,human,40,woman,heterosexual,Bari,unemployed,bachelor's degree,married,0,native-born Italian,Islam,primary school,bachelor's degree,"photography, rock climbing, gardening","computer science, history","literature, biology",79,high,8,low,9,low,50,moderate,60,moderate,34.0,87.0,121.0,high_anxiety,female
da6bed6014,mistral-small-latest,human,19,woman,heterosexual,Bari,full-time student,upper secondary,single,1,immigrant,Islam,no formal education,no formal education,"cinema, knitting, cooking, football (calcio), photography","biology, philosophy","chemistry, computer science",56,moderate,55,moderate,12,low,89,high,92,high,32.0,81.0,113.0,high_anxiety,female
