run_id,model_name,mode,age,gender,sexual_orientation,city_of_living,employment_status,education_level,marital_status,children,migration_status,religious_beliefs,parent_1_education,parent_2_education,hobbies,fav_subjects,hat_subjects,ocean_openness_score,ocean_openness_level,ocean_conscientiousness_score,ocean_conscientiousness_level,ocean_extraversion_score,ocean_extraversion_level,ocean_agreeableness_score,ocean_agreeableness_level,ocean_neuroticism_score,ocean_neuroticism_level,amas_score,mseaq_score,anxiety_score,anxiety_level,gender_level
625b014336,mistral-small-latest,human,23,man,heterosexual,Los Angeles,employed full-time,lower secondary,single,0,native-born American,Agnostic,bachelor's degree,bachelor's degree,"running, birdwatching, football (calcio), gardening","maths, economics","history, philosophy",89,high,93,high,69,high,8,low,73,high,36.0,68.0,104.0,low_anxiety,male
015d22ee6d,mistral-small-latest,human,20,woman,heterosexual,Los Angeles,full-time student,upper secondary,single,0,native-born American,Hinduism,primary school,master's degree,"videogames, cycling, football (calcio), birdwatching","biology, philosophy","physics, history",54,moderate,54,moderate,15,low,15,low,55,moderate,31.0,78.0,109.0,low_anxiety,female
257a824857,mistral-small-latest,human,28,man,heterosexual,Philadelphia,employed full-time,master's degree,in a relationship,0,native-born American,Christianity,upper secondary,bachelor's degree,"knitting, running, volunteering, cinema","physics, computer science","philosophy, history",45,moderate,60,moderate,9,low,66,moderate,44,moderate,34.0,49.0,83.0,low_anxiety,male
b312f05cc2,mistral-small-latest,human,18,woman,heterosexual,Lecce,unemployed,upper secondary,in a relationship,0,native-born Italian,Atheist,bachelor's degree,bachelor's degree,"football (calcio), classical music, videogames, cycling","literature, philosophy","economics, chemistry",97,high,27,low,80,high,26,low,45,moderate,27.0,82.0,109.0,low_anxiety,female
6183311ccc,mistral-small-latest,human,20,woman,heterosexual,Naples,part-time student,upper secondary,single,0,native-born Italian,Christianity,master's degree,PhD,"board games, videogames, reading novels, baking","physics, maths","biology, literature",4,low,8,low,18,low,84,high,65,moderate,39.0,46.0,85.0,low_anxiety,female
44fc4980a2,mistral-small-latest,human,20,man,heterosexual,Philadelphia,full-time student,vocational diploma,single,0,native-born American,Christianity,vocational diploma,bachelor's degree,"rock climbing, videogames, travel, board games, cooking","economics, chemistry","history, maths",16,low,13,low,42,moderate,52,moderate,99,high,27.0,81.0,108.0,low_anxiety,male
dd4c5fbafc,mistral-small-latest,human,21,woman,heterosexual,Milan,unemployed,upper secondary,single,0,immigrant,Christianity,master's degree,vocational diploma,"reading novels, football (calcio)","philosophy, history","computer science, chemistry",89,high,5,low,55,moderate,37,moderate,64,moderate,29.0,78.0,107.0,low_anxiety,female
b4cacecbb9,mistral-small-latest,human,19,woman,heterosexual,Naples,full-time student,upper secondary,single,0,native-born Italian,Christianity,master's degree,master's degree,"travel, rock climbing, volunteering, cooking","maths, literature","biology, computer science",66,moderate,94,high,100,high,14,low,68,high,39.0,50.0,89.0,low_anxiety,female
2c5f06016a,mistral-small-latest,human,20,woman,bisexual,Los Angeles,full-time student,upper secondary,single,0,native-born American,Atheist,upper secondary,no formal education,"knitting, running, board games, birdwatching","chemistry, literature","physics, biology",82,high,25,low,34,moderate,63,moderate,19,low,31.0,71.0,102.0,low_anxiety,female
8fc067bc5f,mistral-small-latest,human,18,woman,heterosexual,Chicago,part-time student,upper secondary,single,0,native-born American,Islam,PhD,PhD,"knitting, running, cycling","history, art","economics, literature",9,low,52,moderate,61,moderate,4,low,1,low,36.0,71.0,107.0,low_anxiety,female
ac750e04dd,mistral-small-latest,human,35,man,homosexual,Philadelphia,full-time student,PhD,single,2,native-born American,Christianity,primary school,primary school,"photography, painting, travel, cinema, cycling","physics, literature","philosophy, computer science",20,low,17,low,4,low,54,moderate,28,low,23.0,78.0,101.0,low_anxiety,male
312b91a1ce,mistral-small-latest,human,28,non-binary,bisexual,Bari,employed part-time,lower secondary,single,1,immigrant,Christianity,lower secondary,master's degree,"videogames, board games, reading novels, cinema, gardening","maths, biology","art, history",2,low,25,low,59,moderate,58,moderate,16,low,36.0,68.0,104.0,low_anxiety,other
a814bc16ec,mistral-small-latest,human,19,woman,heterosexual,Rome,employed part-time,upper secondary,single,0,native-born Italian,Buddhism,lower secondary,lower secondary,"birdwatching, baking","biology, art","chemistry, physics",1,low,19,low,15,low,55,moderate,38,moderate,31.0,78.0,109.0,low_anxiety,female
c18e6a6280,mistral-small-latest,human,18,genderqueer,heterosexual,Philadelphia,full-time student,upper secondary,in a relationship,0,native-born American,Islam,vocational diploma,primary school,"football (calcio), volunteering, reading novels, hiking, board games","literature, art","physics, chemistry",25,low,78,high,72,high,79,high,26,low,29.0,76.0,105.0,low_anxiety,other
26d475c1d3,mistral-small-latest,human,18,man,heterosexual,Milan,full-time student,vocational diploma,single,0,native-born Italian,Christianity,no formal education,primary school,"gardening, painting, classical music, travel","art, maths","biology, literature",2,low,12,low,80,high,3,low,11,low,33.0,72.0,105.0,low_anxiety,male
ea96b48f63,mistral-small-latest,human,70,woman,asexual,Naples,self-employed,master's degree,married,2,native-born Italian,Hinduism,bachelor's degree,vocational diploma,"rock climbing, travel, running, baking, volunteering","philosophy, computer science","biology, chemistry",26,low,69,high,98,high,15,low,76,high,34.0,58.0,92.0,low_anxiety,female
ae89419ce1,mistral-small-latest,human,20,man,bisexual,Bologna,unemployed,vocational diploma,single,0,native-born Italian,Atheist,primary school,PhD,"knitting, running, board games, cycling, gardening","literature, physics","maths, economics",65,moderate,61,moderate,16,low,59,moderate,23,low,23.0,76.0,99.0,low_anxiety,male
6a75571aef,mistral-small-latest,human,20,man,bisexual,Lecce,full-time student,bachelor's degree,single,0,native-born Italian,Hinduism,no formal education,primary school,"baking, football (calcio)","physics, economics","literature, history",66,moderate,77,high,74,high,90,high,2,low,38.0,59.0,97.0,low_anxiety,male
ea7566e4c0,mistral-small-latest,human,19,woman,heterosexual,Los Angeles,employed part-time,vocational diploma,single,0,immigrant,Islam,primary school,upper secondary,"hiking, rock climbing, board games","literature, history","biology, philosophy",13,low,38,moderate,14,low,27,low,46,moderate,31.0,79.0,110.0,low_anxiety,female
94f6522d5d,mistral-small-latest,human,20,agender,heterosexual,Milan,employed part-time,upper secondary,single,0,native-born Italian,Buddhism,master's degree,master's degree,"reading novels, videogames","art, history","maths, philosophy",66,moderate,8,low,5,low,97,high,35,moderate,29.0,75.0,104.0,low_anxiety,other
45d5f11dd6,mistral-small-latest,human,50,agender,heterosexual,Bari,unemployed,lower secondary,single,1,native-born Italian,Christianity,upper secondary,PhD,"board games, running, rock climbing","maths, art","physics, computer science",67,high,69,high,62,moderate,23,low,77,high,34.0,52.0,86.0,low_anxiety,other
