run_id,model_name,mode,age,gender,sexual_orientation,city_of_living,employment_status,education_level,marital_status,children,migration_status,religious_beliefs,parent_1_education,parent_2_education,hobbies,fav_subjects,hat_subjects,ocean_openness_score,ocean_openness_level,ocean_conscientiousness_score,ocean_conscientiousness_level,ocean_extraversion_score,ocean_extraversion_level,ocean_agreeableness_score,ocean_agreeableness_level,ocean_neuroticism_score,ocean_neuroticism_level
625b014336,mistral-small-latest,human,23,man,heterosexual,Los Angeles,employed full-time,lower secondary,single,0,native-born American,Agnostic,bachelor's degree,bachelor's degree,"running, birdwatching, football (calcio), gardening","maths, economics","history, philosophy",89,high,93,high,69,high,8,low,73,high
0809f4d9b6,mistral-small-latest,human,60,woman,heterosexual,Bari,employed full-time,bachelor's degree,divorced,0,immigrant,Christianity,lower secondary,no formal education,"hiking, painting, board games","economics, biology","philosophy, literature",82,high,10,low,23,low,79,high,95,high
bf5c0fb4b1,mistral-small-latest,human,25,woman,heterosexual,Bologna,unemployed,upper secondary,single,0,native-born Italian,Islam,primary school,bachelor's degree,"classical music, running, birdwatching","computer science, economics","art, physics",47,moderate,90,high,92,high,74,high,83,high
015d22ee6d,mistral-small-latest,human,20,woman,heterosexual,Los Angeles,full-time student,upper secondary,single,0,native-born American,Hinduism,primary school,master's degree,"videogames, cycling, football (calcio), birdwatching","biology, philosophy","physics, history",54,moderate,54,moderate,15,low,15,low,55,moderate
459ed72a52,mistral-small-latest,human,30,genderqueer,heterosexual,Washington DC,employed full-time,bachelor's degree,single,0,native-born American,Hinduism,no formal education,no formal education,"travel, board games, cinema","history, physics","computer science, chemistry",68,high,77,high,39,moderate,46,moderate,83,high
257a824857,mistral-small-latest,human,28,man,heterosexual,Philadelphia,employed full-time,master's degree,in a relationship,0,native-born American,Christianity,upper secondary,bachelor's degree,"knitting, running, volunteering, cinema","physics, computer science","philosophy, history",45,moderate,60,moderate,9,low,66,moderate,44,moderate
b312f05cc2,mistral-small-latest,human,18,woman,heterosexual,Lecce,unemployed,upper secondary,in a relationship,0,native-born Italian,Atheist,bachelor's degree,bachelor's degree,"football (calcio), classical music, videogames, cycling","literature, philosophy","economics, chemistry",97,high,27,low,80,high,26,low,45,moderate
6183311ccc,mistral-small-latest,human,20,woman,heterosexual,Naples,part-time student,upper secondary,single,0,native-born Italian,Christianity,master's degree,PhD,"board games, videogames, reading novels, baking","physics, maths","biology, literature",4,low,8,low,18,low,84,high,65,moderate
4991561b28,mistral-small-latest,human,30,woman,heterosexual,Los Angeles,unemployed,lower secondary,married,0,immigrant,Christianity,lower secondary,no formal education,"birdwatching, volunteering, gardening, cycling, hiking","literature, biology","history, art",33,moderate,45,moderate,33,moderate,81,high,77,high
70bb2c18ea,mistral-small-latest,human,35,woman,heterosexual,Milan,employed full-time,lower secondary,single,1,native-born Italian,Atheist,lower secondary,lower secondary,"painting, cycling, volunteering, birdwatching, hiking","computer science, history","art, physics",67,high,89,high,73,high,62,moderate,78,high
ded76e6f29,mistral-small-latest,human,19,woman,heterosexual,Philadelphia,unemployed,lower secondary,single,0,immigrant,Agnostic,PhD,bachelor's degree,"football (calcio), running, knitting","physics, history","economics, literature",40,moderate,47,moderate,39,moderate,82,high,19,low
f8c237ef2f,mistral-small-latest,human,25,non-binary,homosexual,Lecce,employed full-time,vocational diploma,married,2,native-born Italian,Islam,no formal education,master's degree,"board games, rock climbing, hiking, travel","physics, history","philosophy, biology",44,moderate,61,moderate,82,high,80,high,30,low
44fc4980a2,mistral-small-latest,human,20,man,heterosexual,Philadelphia,full-time student,vocational diploma,single,0,native-born American,Christianity,vocational diploma,bachelor's degree,"rock climbing, videogames, travel, board games, cooking","economics, chemistry","history, maths",16,low,13,low,42,moderate,52,moderate,99,high
dd4c5fbafc,mistral-small-latest,human,21,woman,heterosexual,Milan,unemployed,upper secondary,single,0,immigrant,Christianity,master's degree,vocational diploma,"reading novels, football (calcio)","philosophy, history","computer science, chemistry",89,high,5,low,55,moderate,37,moderate,64,moderate
fe53f594f2,mistral-small-latest,human,27,genderqueer,asexual,Rome,unemployed,upper secondary,in a relationship,0,native-born Italian,Judaism,PhD,PhD,"birdwatching, travel, painting","art, computer science","biology, literature",14,low,8,low,99,high,31,low,15,low
b4cacecbb9,mistral-small-latest,human,19,woman,heterosexual,Naples,full-time student,upper secondary,single,0,native-born Italian,Christianity,master's degree,master's degree,"travel, rock climbing, volunteering, cooking","maths, literature","biology, computer science",66,moderate,94,high,100,high,14,low,68,high
2c5f06016a,mistral-small-latest,human,20,woman,bisexual,Los Angeles,full-time student,upper secondary,single,0,native-born American,Atheist,upper secondary,no formal education,"knitting, running, board games, birdwatching","chemistry, literature","physics, biology",82,high,25,low,34,moderate,63,moderate,19,low
59b08e4338,mistral-small-latest,human,40,woman,heterosexual,Bari,unemployed,bachelor's degree,married,0,native-born Italian,Islam,primary school,bachelor's degree,"photography, rock climbing, gardening","computer science, history","literature, biology",79,high,8,low,9,low,50,moderate,60,moderate
8fc067bc5f,mistral-small-latest,human,18,woman,heterosexual,Chicago,part-time student,upper secondary,single,0,native-born American,Islam,PhD,PhD,"knitting, running, cycling","history, art","economics, literature",9,low,52,moderate,61,moderate,4,low,1,low
ac750e04dd,mistral-small-latest,human,35,man,homosexual,Philadelphia,full-time student,PhD,single,2,native-born American,Christianity,primary school,primary school,"photography, painting, travel, cinema, cycling","physics, literature","philosophy, computer science",20,low,17,low,4,low,54,moderate,28,low
da6bed6014,mistral-small-latest,human,19,woman,heterosexual,Bari,full-time student,upper secondary,single,1,immigrant,Islam,no formal education,no formal education,"cinema, knitting, cooking, football (calcio), photography","biology, philosophy","chemistry, computer science",56,moderate,55,moderate,12,low,89,high,92,high
2f1940fc37,mistral-small-latest,human,29,woman,asexual,New York,employed part-time,bachelor's degree,single,0,native-born American,Islam,PhD,vocational diploma,"volunteering, running","literature, physics","art, philosophy",79,high,53,moderate,53,moderate,79,high,30,low
312b91a1ce,mistral-small-latest,human,28,non-binary,bisexual,Bari,employed part-time,lower secondary,single,1,immigrant,Christianity,lower secondary,master's degree,"videogames, board games, reading novels, cinema, gardening","maths, biology","art, history",2,low,25,low,59,moderate,58,moderate,16,low
2a079c1712,mistral-small-latest,human,23,genderqueer,heterosexual,Chicago,part-time student,master's degree,married,1,native-born American,Judaism,PhD,vocational diploma,"volunteering, board games","literature, history","economics, philosophy",92,high,72,high,99,high,9,low,61,moderate
a814bc16ec,mistral-small-latest,human,19,woman,heterosexual,Rome,employed part-time,upper secondary,single,0,native-born Italian,Buddhism,lower secondary,lower secondary,"birdwatching, baking","biology, art","chemistry, physics",1,low,19,low,15,low,55,moderate,38,moderate
c18e6a6280,mistral-small-latest,human,18,genderqueer,heterosexual,Philadelphia,full-time student,upper secondary,in a relationship,0,native-born American,Islam,vocational diploma,primary school,"football (calcio), volunteering, reading novels, hiking, board games","literature, art","physics, chemistry",25,low,78,high,72,high,79,high,26,low
26d475c1d3,mistral-small-latest,human,18,man,heterosexual,Milan,full-time student,vocational diploma,single,0,native-born Italian,Christianity,no formal education,primary school,"gardening, painting, classical music, travel","art, maths","biology, literature",2,low,12,low,80,high,3,low,11,low
8c9566c9c1,mistral-small-latest,human,19,man,heterosexual,Naples,full-time student,upper secondary,single,0,native-born Italian,Islam,primary school,lower secondary,"travel, yoga, cycling, videogames","biology, economics","maths, art",58,moderate,7,low,43,moderate,80,high,70,high
19a5236043,mistral-small-latest,human,19,man,heterosexual,Kansas City,unemployed,upper secondary,single,0,native-born American,Judaism,bachelor's degree,primary school,"gardening, rock climbing, cooking, reading novels","art, literature","physics, chemistry",79,high,88,high,78,high,34,moderate,27,low
dc45d2a4c9,mistral-small-latest,human,35,woman,heterosexual,Chicago,self-employed,bachelor's degree,married,2,native-born American,Christianity,upper secondary,PhD,"volunteering, cycling, knitting, videogames, photography","history, computer science","art, philosophy",13,low,18,low,4,low,0,low,16,low
