cue_word,association_word,cue_valence,associated_valence,weight
ai,algorithm,0,-1,4
ai,algorithm,0,0,44
ai,algorithm,1,0,5
ai,algorithm,1,1,2
ai,anxiety,0,-1,1
ai,artificial,0,-1,1
ai,artificial,0,0,2
ai,assistance,0,0,1
ai,assistance,0,1,3
ai,assistance,1,1,2
ai,assistant,0,1,1
ai,automation,-1,-1,21
ai,automation,0,-1,285
ai,automation,0,0,226
ai,automation,1,-1,9
ai,automation,1,0,52
ai,automation,1,1,2
ai,capability,0,0,2
ai,change,-1,-1,1
ai,change,0,-1,2
ai,change,0,0,3
ai,chatgpt,0,0,16
ai,chatgpt,0,1,3
ai,chatgpt,1,1,4
ai,code,1,0,1
ai,complex,-1,-1,3
ai,complex,0,-1,8
ai,complex,0,0,1
ai,complex,1,0,2
ai,complexity,-1,-1,1
ai,complexity,0,-1,1
ai,computation,-1,-1,1
ai,computation,0,-1,6
ai,computation,0,0,7
ai,computation,1,0,3
ai,computer,0,-1,1
ai,confuse,0,-1,1
ai,danger,-1,-1,5
ai,danger,0,-1,9
ai,danger,1,-1,2
ai,dangerous,0,-1,1
ai,datum,0,0,3
ai,datum,1,0,1
ai,disruption,0,-1,1
ai,efficiency,0,0,3
ai,efficiency,0,1,5
ai,ethic,-1,0,3
ai,ethic,-1,1,1
ai,ethic,0,-1,121
ai,ethic,0,0,93
ai,ethic,0,1,2
ai,ethic,1,-1,20
ai,ethic,1,0,13
ai,ethic,1,1,1
ai,fascinating,0,1,1
ai,fascinating,1,1,3
ai,fear,-1,-1,11
ai,fear,0,-1,78
ai,fear,0,0,1
ai,fear,1,-1,18
ai,future,-1,-1,10
ai,future,-1,0,97
ai,future,-1,1,14
ai,future,0,-1,13
ai,future,0,0,637
ai,future,0,1,456
ai,future,1,-1,1
ai,future,1,0,75
ai,future,1,1,195
ai,help,0,1,1
ai,helpful,0,0,5
ai,helpful,0,1,4
ai,helpful,1,1,1
ai,impersonal,0,-1,1
ai,informatic,0,0,1
ai,innovation,-1,0,1
ai,innovation,-1,1,5
ai,innovation,0,0,34
ai,innovation,0,1,103
ai,innovation,1,1,40
ai,intelligence,-1,0,17
ai,intelligence,-1,1,7
ai,intelligence,0,0,483
ai,intelligence,0,1,335
ai,intelligence,1,0,1
ai,intelligence,1,1,164
ai,intelligent,1,1,1
ai,job,0,-1,2
ai,job,0,0,5
ai,job,0,1,1
ai,job,1,1,1
ai,jobless,-1,-1,1
ai,learn,0,0,20
ai,learn,1,1,1
ai,llm,0,0,4
ai,llm,1,0,1
ai,logic,-1,0,1
ai,logic,0,0,1
ai,machine,-1,-1,14
ai,machine,0,-1,50
ai,machine,0,0,59
ai,machine,1,0,13
ai,model,0,-1,1
ai,model,0,0,1
ai,model,1,0,1
ai,potential,0,0,8
ai,potential,0,1,5
ai,potential,1,1,1
ai,power,0,-1,3
ai,powerful,-1,0,1
ai,powerful,0,0,2
ai,powerful,0,1,2
ai,powerful,1,1,1
ai,progress,-1,0,3
ai,progress,-1,1,1
ai,progress,0,0,8
ai,progress,0,1,25
ai,progress,1,1,3
ai,revolution,1,0,2
ai,risk,0,-1,5
ai,robot,-1,-1,6
ai,robot,0,-1,14
ai,robot,0,0,17
ai,robot,1,0,3
ai,scary,-1,-1,21
ai,scary,0,-1,77
ai,scary,1,-1,11
ai,scary,1,0,1
ai,smart,-1,0,1
ai,smart,0,0,5
ai,smart,0,1,16
ai,smart,1,1,4
ai,tech,-1,-1,1
ai,tech,-1,0,3
ai,tech,0,0,36
ai,tech,0,1,7
ai,tech,1,0,1
ai,tech,1,1,15
ai,technology,-1,-1,27
ai,technology,-1,0,40
ai,technology,0,-1,3
ai,technology,0,0,672
ai,technology,0,1,109
ai,technology,1,0,5
ai,technology,1,1,122
ai,threat,0,-1,6
ai,tool,-1,0,10
ai,tool,0,0,74
ai,tool,0,1,8
ai,tool,1,0,11
ai,tool,1,1,9
ai,transformation,0,0,14
ai,uncanny,0,-1,1
ai,uncertain,-1,-1,9
ai,uncertain,0,-1,29
ai,uncertain,0,0,2
ai,uncertain,1,-1,4
ai,uncertain,1,0,1
ai,uncertainty,-1,-1,48
ai,uncertainty,0,-1,203
ai,uncertainty,0,0,3
ai,uncertainty,1,-1,21
ai,uncertainty,1,0,4
ai,unemployment,0,-1,1
ai,unknown,0,-1,1
ai,unpredictable,0,-1,3
ai,unpredictable,1,-1,1
ai,wonder,0,1,1
algorithm,abstract,-1,-1,5
algorithm,abstract,0,-1,2
algorithm,abstraction,0,-1,2
algorithm,abstraction,1,0,1
algorithm,ai,-1,-1,3
algorithm,ai,-1,0,18
algorithm,ai,-1,1,1
algorithm,ai,0,-1,1
algorithm,ai,0,0,28
algorithm,ai,0,1,9
algorithm,ai,1,1,3
algorithm,automation,-1,-1,9
algorithm,automation,-1,0,5
algorithm,automation,0,-1,7
algorithm,automation,0,0,59
algorithm,automation,0,1,1
algorithm,automation,1,0,9
algorithm,bias,-1,-1,1
algorithm,bias,0,-1,10
algorithm,bias,1,-1,1
algorithm,black - box,-1,-1,1
algorithm,blackbox,0,-1,5
algorithm,bore,-1,-1,4
algorithm,bore,0,-1,1
algorithm,code,-1,-1,228
algorithm,code,-1,0,3
algorithm,code,0,-1,88
algorithm,code,0,0,416
algorithm,code,0,1,16
algorithm,code,1,0,40
algorithm,code,1,1,123
algorithm,cold,0,-1,1
algorithm,coldness,-1,-1,2
algorithm,complex,-1,-1,134
algorithm,complex,0,-1,109
algorithm,complex,0,0,10
algorithm,complex,1,-1,3
algorithm,complex,1,0,4
algorithm,complexity,-1,-1,38
algorithm,complexity,0,-1,74
algorithm,complexity,0,0,10
algorithm,complexity,1,-1,9
algorithm,complexity,1,0,1
algorithm,complicated,-1,-1,4
algorithm,complicated,0,-1,2
algorithm,computation,-1,-1,36
algorithm,computation,-1,0,1
algorithm,computation,0,-1,11
algorithm,computation,0,0,309
algorithm,computation,0,1,1
algorithm,computation,1,0,3
algorithm,computation,1,1,11
algorithm,computer,-1,-1,38
algorithm,computer,-1,0,20
algorithm,computer,0,-1,1
algorithm,computer,0,0,55
algorithm,computer,0,1,12
algorithm,computer,1,1,6
algorithm,confuse,-1,-1,11
algorithm,confuse,0,-1,2
algorithm,constraint,0,-1,1
algorithm,deterministic,0,-1,1
algorithm,efficiency,-1,0,95
algorithm,efficiency,-1,1,49
algorithm,efficiency,0,0,338
algorithm,efficiency,0,1,425
algorithm,efficiency,1,0,12
algorithm,efficiency,1,1,200
algorithm,efficient,-1,0,9
algorithm,efficient,-1,1,12
algorithm,efficient,0,0,4
algorithm,efficient,0,1,43
algorithm,efficient,1,1,13
algorithm,impersonal,-1,-1,4
algorithm,impersonal,0,-1,1
algorithm,implementation,1,0,1
algorithm,informatic,0,0,1
algorithm,logic,-1,-1,24
algorithm,logic,-1,0,143
algorithm,logic,-1,1,20
algorithm,logic,0,-1,3
algorithm,logic,0,0,472
algorithm,logic,0,1,181
algorithm,logic,1,0,14
algorithm,logic,1,1,120
algorithm,machine,-1,0,1
algorithm,machine,0,0,1
algorithm,math,-1,-1,7
algorithm,math,-1,0,1
algorithm,math,0,-1,2
algorithm,math,0,0,1
algorithm,mathematic,-1,-1,1
algorithm,mathematic,-1,0,1
algorithm,mathematic,0,-1,2
algorithm,maths,-1,-1,3
algorithm,maths,0,-1,2
algorithm,mechanical,0,-1,3
algorithm,mechanical,1,-1,1
algorithm,method,0,0,7
algorithm,model,-1,-1,1
algorithm,number,-1,-1,1
algorithm,number,0,0,1
algorithm,opacity,0,-1,1
algorithm,opacity,1,-1,1
algorithm,optimization,0,0,1
algorithm,optimization,0,1,1
algorithm,optimization,1,1,4
algorithm,optimize,1,1,1
algorithm,precise,0,0,1
algorithm,precise,0,1,1
algorithm,precision,-1,0,1
