cue_word,association_word,cue_valence,associated_valence,weight
ai,advanced,0,0,1
ai,algorithm,-1,-1,2
ai,algorithm,0,0,8
ai,algorithm,0,1,1
ai,algorithm,1,1,2
ai,amazing,1,1,1
ai,assistant,0,0,1
ai,automate,0,0,1
ai,automate,1,0,1
ai,automation,-1,-1,12
ai,automation,-1,0,2
ai,automation,0,-1,19
ai,automation,0,0,128
ai,automation,1,-1,1
ai,automation,1,0,19
ai,automation,1,1,3
ai,chat,0,0,3
ai,chat,1,0,1
ai,chat,1,1,1
ai,chatbot,-1,-1,3
ai,chatbot,0,-1,3
ai,chatbot,0,0,7
ai,chatbot,1,0,6
ai,chatbot,1,1,8
ai,chatgpt,-1,-1,3
ai,chatgpt,0,0,13
ai,chatgpt,0,1,2
ai,chatgpt,1,0,9
ai,chatgpt,1,1,18
ai,cheat,-1,-1,2
ai,cheat,0,-1,1
ai,clever,-1,0,1
ai,clever,0,1,2
ai,cod,-1,-1,4
ai,cod,0,0,2
ai,cod,0,1,3
ai,cod,1,1,5
ai,code,-1,-1,11
ai,code,0,-1,1
ai,code,0,1,2
ai,code,1,-1,1
ai,code,1,0,1
ai,code,1,1,15
ai,cold,-1,-1,1
ai,complex,-1,-1,1
ai,complex,0,-1,1
ai,computer,-1,-1,28
ai,computer,-1,0,1
ai,computer,0,-1,8
ai,computer,0,0,19
ai,computer,0,1,7
ai,computer,1,0,1
ai,computer,1,1,11
ai,control,-1,-1,1
ai,cool,0,0,2
ai,cool,0,1,2
ai,cool,1,1,4
ai,creative,1,1,1
ai,creepy,-1,-1,4
ai,creepy,1,-1,1
ai,cs,1,1,1
ai,danger,-1,-1,18
ai,danger,0,-1,14
ai,danger,0,0,1
ai,dangerous,-1,-1,3
ai,dangerous,0,-1,1
ai,datum,-1,-1,1
ai,disruptive,0,-1,1
ai,disruptive,1,0,1
ai,ethic,-1,0,1
ai,ethic,0,-1,3
ai,ethic,0,0,6
ai,ethic,0,1,3
ai,ethic,1,-1,4
ai,ethic,1,0,3
ai,ethic,1,1,1
ai,exciting,0,1,4
ai,exciting,1,1,11
ai,fake,-1,-1,13
ai,fake,0,-1,7
ai,fast,-1,1,1
ai,fear,-1,-1,1
ai,fear,0,0,1
ai,future,-1,-1,10
ai,future,-1,0,65
ai,future,-1,1,12
ai,future,0,-1,12
ai,future,0,0,422
ai,future,0,1,206
ai,future,1,-1,2
ai,future,1,0,89
ai,future,1,1,340
ai,futuretech,1,1,1
ai,game,0,0,3
ai,game,0,1,11
ai,game,1,1,14
ai,help,0,0,1
ai,help,0,1,1
ai,help,1,0,1
ai,helper,0,0,1
ai,helper,0,1,1
ai,helper,1,0,3
ai,helper,1,1,3
ai,helpful,-1,0,2
ai,helpful,0,0,19
ai,helpful,0,1,24
ai,helpful,1,0,1
ai,helpful,1,1,33
ai,hype,-1,-1,14
ai,hype,-1,0,5
ai,hype,0,-1,2
ai,hype,0,0,6
ai,innovate,0,0,1
ai,innovate,0,1,1
ai,innovate,1,1,1
ai,innovation,-1,-1,1
ai,innovation,-1,1,2
ai,innovation,0,0,22
ai,innovation,0,1,8
ai,innovation,1,0,1
ai,innovation,1,1,26
ai,innovative,-1,0,1
ai,innovative,0,-1,1
ai,innovative,0,0,4
