cue_word,association_word,cue_valence,associated_valence,weight
ai,algorithm,-1,-1,1
ai,algorithm,0,-1,3
ai,algorithm,0,0,17
ai,artificial,0,-1,4
ai,artificial,0,0,10
ai,assistant,0,0,3
ai,automation,-1,-1,4
ai,automation,0,-1,34
ai,automation,0,0,55
ai,automation,1,0,1
ai,career,0,0,1
ai,change,0,-1,1
ai,change,0,0,3
ai,chatbot,1,0,1
ai,chatgpt,-1,-1,3
ai,chatgpt,0,0,69
ai,chatgpt,0,1,9
ai,chatgpt,1,1,1
ai,complex,-1,-1,3
ai,complex,0,-1,11
ai,complex,0,0,5
ai,complexity,-1,-1,5
ai,complexity,-1,0,1
ai,complexity,0,-1,22
ai,complexity,0,0,22
ai,complexity,1,-1,2
ai,complexity,1,0,1
ai,complicated,0,-1,2
ai,computation,-1,-1,1
ai,computation,-1,0,1
ai,computation,0,-1,3
ai,computation,0,0,10
ai,computer,-1,-1,1
ai,computer,-1,0,1
ai,computer,0,-1,3
ai,computer,0,0,20
ai,computer,0,1,1
ai,computer,1,1,2
ai,creativity,0,0,1
ai,datum,0,0,2
ai,efficiency,0,0,1
ai,efficient,0,1,2
ai,ethic,-1,0,1
ai,ethic,0,-1,8
ai,ethic,0,0,19
ai,experiment,0,0,1
ai,fear,0,-1,1
ai,future,-1,-1,10
ai,future,-1,0,62
ai,future,-1,1,5
ai,future,0,-1,7
ai,future,0,0,1367
ai,future,0,1,137
ai,future,1,-1,1
ai,future,1,0,33
ai,future,1,1,73
ai,help,0,0,2
ai,informatic,-1,-1,1
ai,informatic,0,-1,2
ai,informatic,0,0,9
ai,innovation,-1,0,2
ai,innovation,0,0,166
ai,innovation,0,1,57
ai,innovation,1,0,1
ai,innovation,1,1,20
ai,intelligence,-1,0,3
ai,intelligence,0,0,66
ai,intelligence,0,1,66
ai,intelligence,1,1,10
ai,intelligent,-1,0,1
ai,intelligent,0,1,3
ai,job,0,0,2
ai,learn,-1,-1,5
ai,learn,-1,0,5
ai,learn,-1,1,3
ai,learn,0,-1,2
ai,learn,0,0,391
ai,learn,0,1,60
ai,learn,1,-1,1
ai,learn,1,0,18
ai,learn,1,1,26
ai,llm,0,0,8
ai,logic,-1,-1,1
ai,logic,0,0,1
ai,machine,-1,-1,18
ai,machine,-1,0,1
ai,machine,0,-1,107
ai,machine,0,0,330
ai,machine,1,-1,8
ai,machine,1,0,16
ai,machine,1,1,3
ai,model,0,0,4
ai,mysterious,0,-1,1
ai,mysterious,0,0,1
ai,mystery,0,-1,1
ai,neural,0,0,1
ai,problem - solve,-1,0,1
ai,robot,-1,-1,10
ai,robot,0,-1,24
ai,robot,0,0,115
ai,robot,1,0,5
ai,robot,1,1,1
ai,robotic,-1,-1,3
ai,robotic,0,-1,13
ai,robotic,0,0,110
ai,robotic,1,-1,2
ai,robotic,1,0,5
ai,smart,0,0,17
ai,smart,0,1,11
ai,smart,1,1,8
ai,tech,-1,-1,1
ai,tech,0,0,9
ai,technology,-1,-1,13
ai,technology,-1,0,65
ai,technology,-1,1,2
ai,technology,0,-1,5
ai,technology,0,0,1564
ai,technology,0,1,92
ai,technology,1,-1,2
ai,technology,1,0,12
ai,technology,1,1,92
ai,uncertain,0,-1,3
ai,uncertainty,-1,-1,2
ai,uncertainty,0,-1,17
ai,unknown,-1,-1,1
ai,unknown,0,-1,2
ai,work,0,0,1
algorithm,ai,-1,0,5
algorithm,ai,0,0,16
algorithm,ai,0,1,3
algorithm,automation,0,-1,1
algorithm,automation,0,0,4
algorithm,automation,1,-1,1
algorithm,automation,1,1,1
algorithm,cod,-1,-1,16
algorithm,cod,-1,0,3
algorithm,cod,0,-1,3
algorithm,cod,0,0,30
algorithm,cod,1,1,1
algorithm,code,-1,-1,189
algorithm,code,-1,0,37
algorithm,code,0,-1,17
algorithm,code,0,0,843
algorithm,code,0,1,1
algorithm,code,1,-1,2
algorithm,code,1,0,1
algorithm,code,1,1,12
algorithm,complex,-1,-1,23
algorithm,complex,0,-1,14
algorithm,complex,0,0,2
algorithm,complexity,-1,-1,15
algorithm,complexity,0,-1,5
algorithm,complexity,0,0,3
algorithm,complicated,-1,-1,2
algorithm,complicated,0,-1,1
algorithm,computation,-1,-1,118
algorithm,computation,-1,0,14
algorithm,computation,0,-1,21
algorithm,computation,0,0,443
algorithm,computation,1,-1,1
algorithm,computation,1,1,10
algorithm,compute,-1,-1,7
algorithm,compute,0,0,53
algorithm,computer,-1,-1,79
algorithm,computer,-1,0,35
algorithm,computer,-1,1,1
algorithm,computer,0,-1,8
algorithm,computer,0,0,260
algorithm,computer,0,1,6
algorithm,computer,1,1,2
algorithm,computer science,0,0,1
algorithm,computer science,0,1,1
algorithm,confuse,-1,-1,5
algorithm,datum,-1,-1,8
algorithm,datum,-1,0,6
algorithm,datum,0,-1,2
algorithm,datum,0,0,77
algorithm,datum,1,-1,1
algorithm,datum,1,1,1
algorithm,difficult,-1,-1,1
algorithm,efficiency,-1,-1,1
algorithm,efficiency,-1,0,7
algorithm,efficiency,0,0,33
algorithm,efficiency,0,1,9
algorithm,efficient,0,0,8
algorithm,efficient,0,1,9
algorithm,equation,-1,-1,1
algorithm,equation,0,0,1
algorithm,informatic,-1,-1,16
algorithm,informatic,-1,0,2
algorithm,informatic,0,-1,4
algorithm,informatic,0,0,53
algorithm,informatic,0,1,1
algorithm,informatic,1,0,1
algorithm,informatic,1,1,2
algorithm,llm,0,-1,1
algorithm,logic,-1,-1,58
algorithm,logic,-1,0,140
algorithm,logic,-1,1,4
algorithm,logic,0,-1,8
algorithm,logic,0,0,890
algorithm,logic,0,1,16
algorithm,logic,1,-1,1
algorithm,logic,1,0,3
