cue_word,association_word,cue_valence,associated_valence,weight
ai,artificial,0,-1,2
ai,artificial,0,0,2
ai,automation,-1,-1,11
ai,automation,-1,0,1
ai,automation,0,-1,50
ai,automation,0,0,20
ai,automation,1,-1,2
ai,automation,1,0,5
ai,challenge,0,-1,5
ai,challenge,0,0,1
ai,change,-1,-1,2
ai,change,0,-1,6
ai,complex,1,-1,1
ai,complexity,0,-1,5
ai,complexity,0,0,1
ai,concern,0,-1,1
ai,fear,0,-1,1
ai,future,-1,-1,4
ai,future,-1,0,66
ai,future,-1,1,9
ai,future,0,-1,61
ai,future,0,0,502
ai,future,0,1,157
ai,future,1,-1,1
ai,future,1,0,99
ai,future,1,1,126
ai,futuristic,0,0,1
ai,innovate,-1,0,1
ai,innovate,0,0,1
ai,innovate,0,1,2
ai,innovation,-1,0,11
ai,innovation,-1,1,6
ai,innovation,0,0,39
ai,innovation,0,1,77
ai,innovation,1,0,1
ai,innovation,1,1,36
ai,innovative,0,0,1
ai,innovative,0,1,2
ai,innovative,1,1,1
ai,intellect,-1,-1,1
ai,intellect,1,1,2
ai,intelligence,-1,-1,3
ai,intelligence,-1,0,88
ai,intelligence,-1,1,26
ai,intelligence,0,-1,4
ai,intelligence,0,0,509
ai,intelligence,0,1,501
ai,intelligence,1,0,12
ai,intelligence,1,1,201
ai,intelligent,-1,0,1
ai,intelligent,-1,1,1
ai,intelligent,0,-1,1
ai,intelligent,0,0,12
ai,intelligent,0,1,19
ai,intelligent,1,0,1
ai,intelligent,1,1,6
ai,learn,-1,-1,1
ai,learn,-1,0,13
ai,learn,-1,1,2
ai,learn,0,0,63
ai,learn,0,1,42
ai,learn,1,0,10
ai,learn,1,1,16
ai,machine,-1,-1,29
ai,machine,-1,0,4
ai,machine,0,-1,177
ai,machine,0,0,111
ai,machine,1,-1,11
ai,machine,1,0,45
ai,robot,-1,-1,6
ai,robot,-1,0,6
ai,robot,0,-1,41
ai,robot,0,0,8
ai,robot,1,-1,4
ai,robot,1,0,4
ai,robot,1,1,1
ai,robotic,-1,-1,7
ai,robotic,-1,0,2
ai,robotic,0,-1,9
ai,robotic,0,0,33
ai,robotic,1,0,6
ai,robotic,1,1,2
ai,smart,-1,-1,1
ai,smart,0,0,5
ai,smart,0,1,21
ai,smart,1,1,5
ai,tech,-1,-1,1
ai,tech,0,0,17
ai,tech,0,1,2
ai,tech,1,0,3
ai,tech,1,1,2
ai,technology,-1,-1,8
ai,technology,-1,0,80
ai,technology,-1,1,8
ai,technology,0,-1,19
ai,technology,0,0,631
ai,technology,0,1,126
ai,technology,1,0,60
ai,technology,1,1,108
ai,uncertainty,-1,-1,2
ai,uncertainty,0,-1,2
algorithm,ai,0,1,1
algorithm,automation,-1,-1,4
algorithm,automation,-1,0,4
algorithm,automation,-1,1,2
algorithm,automation,0,0,4
algorithm,automation,0,1,2
algorithm,cod,-1,-1,9
algorithm,cod,-1,0,16
algorithm,cod,0,-1,7
algorithm,cod,0,0,31
algorithm,cod,0,1,3
algorithm,code,-1,-1,423
algorithm,code,-1,0,265
algorithm,code,-1,1,1
algorithm,code,0,-1,88
algorithm,code,0,0,650
algorithm,code,0,1,46
algorithm,code,1,-1,1
algorithm,code,1,0,3
algorithm,code,1,1,6
algorithm,complex,-1,-1,2
algorithm,complex,0,-1,2
algorithm,complexity,-1,-1,3
algorithm,complexity,0,-1,1
algorithm,computation,-1,-1,14
algorithm,computation,-1,0,3
algorithm,computation,0,-1,2
algorithm,computation,0,0,14
algorithm,compute,-1,-1,15
algorithm,compute,-1,0,2
algorithm,compute,0,-1,3
algorithm,compute,0,0,18
algorithm,compute,0,1,2
algorithm,computer,0,0,1
algorithm,datum,-1,-1,12
algorithm,datum,-1,0,11
algorithm,datum,0,-1,3
algorithm,datum,0,0,9
algorithm,efficiency,-1,0,30
algorithm,efficiency,-1,1,8
algorithm,efficiency,0,-1,1
algorithm,efficiency,0,0,32
algorithm,efficiency,0,1,19
algorithm,efficient,-1,-1,1
algorithm,efficient,-1,0,22
algorithm,efficient,-1,1,11
algorithm,efficient,0,0,21
algorithm,efficient,0,1,19
algorithm,efficient,1,1,1
algorithm,flowchart,0,-1,1
algorithm,logic,-1,-1,184
algorithm,logic,-1,0,218
algorithm,logic,-1,1,6
algorithm,logic,0,-1,26
algorithm,logic,0,0,330
algorithm,logic,0,1,19
algorithm,logic,1,0,1
algorithm,logic,1,1,3
algorithm,math,-1,-1,9
algorithm,math,-1,0,4
algorithm,math,0,-1,3
algorithm,math,0,0,8
algorithm,mathematic,-1,-1,1
algorithm,maths,0,-1,1
algorithm,problem,-1,-1,196
algorithm,problem,0,-1,151
algorithm,problem,0,0,9
algorithm,problem,1,-1,2
algorithm,problem - solve,0,-1,1
algorithm,problem - solve,0,0,3
algorithm,procedure,-1,-1,10
algorithm,procedure,-1,0,1
algorithm,procedure,0,-1,4
algorithm,procedure,0,0,15
algorithm,process,-1,-1,92
algorithm,process,-1,0,7
algorithm,process,0,-1,37
algorithm,process,0,0,58
algorithm,program,0,0,2
algorithm,programming,-1,-1,1
algorithm,programming,-1,0,8
algorithm,programming,0,-1,2
algorithm,programming,0,0,6
algorithm,programming,0,1,3
algorithm,sequence,0,-1,1
algorithm,solution,-1,-1,5
algorithm,solution,-1,0,243
algorithm,solution,-1,1,64
algorithm,solution,0,-1,1
algorithm,solution,0,0,205
algorithm,solution,0,1,167
algorithm,solution,1,1,3
algorithm,solve,-1,-1,15
algorithm,solve,-1,0,50
algorithm,solve,-1,1,2
algorithm,solve,0,-1,17
algorithm,solve,0,0,76
algorithm,solve,0,1,5
algorithm,step,-1,-1,138
algorithm,step,-1,0,11
algorithm,step,0,-1,85
algorithm,step,0,0,74
algorithm,step,1,0,1
algorithm,system,0,0,1
algorithm,systematic,0,0,1
anxiety,calm,-1,-1,1
anxiety,concern,-1,-1,3
anxiety,exam,-1,-1,33
anxiety,failure,-1,-1,1
anxiety,fear,-1,-1,600
anxiety,future,-1,-1,5
anxiety,nervous,-1,-1,143
anxiety,nervousness,-1,-1,2
anxiety,panic,-1,-1,2
anxiety,pressure,-1,-1,42
anxiety,stress,-1,-1,1734
anxiety,stressful,-1,-1,1
anxiety,tension,-1,-1,35
anxiety,test,-1,-1,9
anxiety,uncertainty,-1,-1,215
anxiety,uncomfortable,-1,-1,2
anxiety,unprepared,-1,-1,2
anxiety,worry,-1,-1,1545
art,beautiful,0,1,1
art,beautiful,1,1,14
art,beauty,0,0,69
art,beauty,0,1,39
art,beauty,1,1,694
art,brush,-1,-1,1
art,canvas,-1,0,1
art,canvas,0,-1,16
art,canvas,0,0,13
art,canvas,1,0,2
art,color,0,1,1
art,color,1,1,2
art,create,-1,0,1
art,create,0,0,13
art,create,0,1,2
art,create,1,1,88
art,creation,1,1,8
art,creative,-1,0,4
art,creative,0,0,53
art,creative,0,1,28
art,creative,1,0,8
art,creative,1,1,382
art,creativity,-1,-1,1
art,creativity,-1,0,11
art,creativity,0,0,87
art,creativity,0,1,92
art,creativity,1,0,12
art,creativity,1,1,929
art,culture,1,1,1
art,emotion,1,0,1
art,emotion,1,1,1
art,express,0,0,11
art,express,1,0,4
art,express,1,1,53
art,expression,-1,0,5
art,expression,-1,1,2
art,expression,0,-1,1
art,expression,0,0,204
art,expression,0,1,57
art,expression,1,0,69
art,expression,1,1,1256
art,gallery,-1,0,1
art,gallery,0,-1,1
art,gallery,0,0,1
art,gallery,0,1,3
art,gallery,1,0,5
art,gallery,1,1,3
art,inspiration,0,1,1
art,inspiration,1,1,3
art,museum,0,1,1
art,museum,1,0,1
art,paint,-1,-1,1
art,paint,-1,0,1
art,paint,0,-1,1
art,paint,0,0,28
art,paint,0,1,7
art,paint,1,0,13
art,paint,1,1,77
art,palette,0,0,1
art,sculpture,1,1,1
biology,cell,-1,-1,112
biology,cell,-1,0,33
biology,cell,0,-1,312
biology,cell,0,0,942
biology,cell,1,-1,1
biology,cell,1,0,149
biology,cell,1,1,48
biology,cellular,0,0,1
biology,complex,0,-1,2
biology,complexity,0,-1,3
biology,discovery,0,0,1
biology,discovery,0,1,3
biology,discovery,1,1,4
biology,dna,-1,-1,1
biology,dna,-1,0,1
biology,dna,-1,1,4
biology,dna,0,0,3
biology,dna,0,1,1
biology,eco,-1,-1,1
biology,ecosystem,-1,-1,2
biology,ecosystem,-1,0,13
biology,ecosystem,0,-1,3
biology,ecosystem,0,0,207
biology,ecosystem,0,1,11
biology,ecosystem,1,0,2
biology,ecosystem,1,1,28
biology,evolution,-1,-1,2
biology,evolution,-1,0,3
biology,evolution,-1,1,2
biology,evolution,0,-1,3
biology,evolution,0,0,35
biology,evolution,0,1,1
biology,evolution,1,0,5
biology,evolution,1,1,1
biology,evolve,0,0,1
biology,exam,-1,-1,1
biology,exam,0,-1,1
biology,experiment,-1,-1,2
biology,experiment,0,-1,5
biology,experiment,0,0,5
biology,gene,0,-1,1
biology,gene,1,0,1
biology,genetic,-1,-1,1
biology,genetic,0,-1,1
biology,genetic,0,0,7
biology,genetic,0,1,1
biology,interest,0,0,2
biology,interest,0,1,1
biology,lab,0,0,3
biology,life,-1,-1,1
biology,life,-1,0,79
biology,life,-1,1,79
biology,life,0,-1,2
biology,life,0,0,237
biology,life,0,1,1323
biology,life,1,0,1
biology,life,1,1,243
biology,microbe,-1,-1,1
biology,microbe,0,-1,1
biology,microorganism,0,0,1
biology,microscope,-1,-1,1
biology,microscope,-1,0,1
biology,nature,-1,0,2
biology,nature,-1,1,4
biology,nature,0,0,33
biology,nature,0,1,107
biology,nature,1,1,25
biology,organism,-1,-1,1
biology,organism,-1,0,2
biology,organism,0,0,18
biology,organism,1,0,5
biology,organism,1,1,4
biology,research,-1,-1,1
biology,research,-1,0,1
biology,research,0,-1,1
biology,research,0,0,23
biology,research,0,1,2
biology,research,1,0,4
biology,research,1,1,4
biology,science,-1,-1,2
biology,science,-1,0,18
biology,science,-1,1,1
biology,science,0,-1,2
biology,science,0,0,180
biology,science,0,1,45
biology,science,1,0,4
biology,science,1,1,27
biology,study,-1,-1,4
biology,study,-1,0,3
biology,study,0,-1,25
biology,study,0,0,63
biology,study,0,1,1
biology,study,1,0,6
blackboard,board,-1,-1,2
blackboard,bore,-1,-1,1
blackboard,chalk,-1,-1,225
blackboard,chalk,-1,0,16
blackboard,chalk,0,-1,29
blackboard,chalk,0,0,16
blackboard,class,-1,-1,194
blackboard,class,-1,0,113
blackboard,class,0,-1,1
