cue_word,association_word,cue_valence,associated_valence,weight
ai,algorithm,0,-1,5
ai,algorithm,0,0,11
ai,algorithm,1,0,1
ai,artificial,-1,-1,2
ai,artificial,0,-1,4
ai,artificial,0,0,8
ai,artificial,1,0,1
ai,assistance,0,1,1
ai,assistant,0,0,5
ai,automation,-1,-1,8
ai,automation,0,-1,55
ai,automation,0,0,52
ai,automation,1,-1,8
ai,automation,1,0,6
ai,change,0,-1,2
ai,change,0,0,2
ai,chatgpt,0,0,43
ai,chatgpt,0,1,9
ai,chatgpt,1,1,2
ai,complex,-1,-1,3
ai,complex,0,-1,9
ai,complex,0,0,2
ai,complex,1,0,1
ai,complexity,-1,-1,5
ai,complexity,0,-1,15
ai,complexity,0,0,15
ai,complexity,1,-1,1
ai,computation,-1,-1,1
ai,computation,0,-1,2
ai,computation,0,0,9
ai,computer,-1,-1,2
ai,computer,-1,0,1
ai,computer,0,-1,5
ai,computer,0,0,19
ai,computer,0,1,1
ai,concern,0,-1,1
ai,curious,0,0,1
ai,datum,-1,0,1
ai,datum,0,0,3
ai,datum,1,0,1
ai,efficiency,0,0,5
ai,efficiency,0,1,1
ai,efficient,0,0,2
ai,efficient,0,1,1
ai,ethic,-1,0,1
ai,ethic,-1,1,1
ai,ethic,0,-1,15
ai,ethic,0,0,17
ai,ethic,1,-1,2
ai,fear,0,-1,1
ai,future,-1,-1,15
ai,future,-1,0,63
ai,future,-1,1,7
ai,future,0,-1,46
ai,future,0,0,1245
ai,future,0,1,163
ai,future,1,-1,6
ai,future,1,0,76
ai,future,1,1,86
ai,help,0,0,1
ai,help,0,1,1
ai,informatic,0,-1,3
ai,informatic,0,0,13
ai,innovation,-1,-1,3
ai,innovation,-1,0,1
ai,innovation,-1,1,2
ai,innovation,0,0,127
ai,innovation,0,1,48
ai,innovation,1,0,1
ai,innovation,1,1,24
ai,intelligence,-1,-1,1
ai,intelligence,-1,1,2
ai,intelligence,0,0,45
ai,intelligence,0,1,51
ai,intelligence,1,0,2
ai,intelligence,1,1,10
ai,intelligent,0,1,1
ai,interest,0,0,1
ai,job,0,0,1
ai,learn,-1,-1,2
ai,learn,-1,0,9
ai,learn,-1,1,8
ai,learn,0,-1,4
ai,learn,0,0,334
ai,learn,0,1,89
ai,learn,1,-1,2
ai,learn,1,0,31
ai,learn,1,1,38
ai,llm,0,0,7
ai,llm,1,1,1
ai,machine,-1,-1,26
ai,machine,-1,0,1
ai,machine,0,-1,162
ai,machine,0,0,295
ai,machine,1,-1,14
ai,machine,1,0,53
ai,machine,1,1,3
ai,model,0,0,5
ai,mysterious,0,0,1
ai,neural,0,0,1
ai,robot,-1,-1,5
ai,robot,-1,0,3
ai,robot,0,-1,25
ai,robot,0,0,100
ai,robot,1,-1,1
ai,robot,1,0,6
ai,robotic,-1,-1,4
ai,robotic,0,-1,13
ai,robotic,0,0,63
ai,robotic,1,0,4
ai,scary,0,-1,1
ai,science,-1,0,2
ai,science,0,0,1
ai,science,0,1,1
ai,science,1,0,1
ai,smart,-1,0,1
ai,smart,0,-1,1
ai,smart,0,0,16
ai,smart,0,1,14
ai,smart,1,1,5
ai,student,0,1,1
ai,tech,-1,-1,1
ai,tech,0,-1,1
ai,tech,0,0,10
ai,tech,0,1,1
ai,tech,1,1,1
ai,technology,-1,-1,16
ai,technology,-1,0,76
ai,technology,-1,1,6
ai,technology,0,-1,6
ai,technology,0,0,1327
ai,technology,0,1,207
ai,technology,1,-1,1
ai,technology,1,0,29
ai,technology,1,1,134
ai,uncertainty,-1,-1,2
ai,uncertainty,0,-1,19
ai,unknown,0,-1,5
algorithm,ai,-1,-1,1
algorithm,ai,-1,0,2
algorithm,ai,0,0,12
algorithm,ai,0,1,2
algorithm,automation,-1,-1,2
algorithm,automation,0,-1,1
algorithm,automation,0,0,13
algorithm,automation,0,1,3
algorithm,cod,-1,-1,24
algorithm,cod,-1,0,2
algorithm,cod,0,-1,5
algorithm,cod,0,0,26
algorithm,cod,0,1,1
algorithm,code,-1,-1,215
algorithm,code,-1,0,57
algorithm,code,0,-1,132
algorithm,code,0,0,826
algorithm,code,0,1,32
algorithm,code,1,-1,1
algorithm,code,1,0,29
algorithm,code,1,1,19
algorithm,complex,-1,-1,15
algorithm,complex,0,-1,6
algorithm,complexity,-1,-1,7
algorithm,complexity,0,-1,7
algorithm,complexity,0,0,1
algorithm,computation,-1,-1,89
algorithm,computation,-1,0,5
algorithm,computation,-1,1,1
algorithm,computation,0,-1,20
algorithm,computation,0,0,371
algorithm,computation,0,1,1
algorithm,computation,1,0,1
algorithm,computation,1,1,2
algorithm,compute,-1,-1,2
algorithm,compute,-1,0,2
algorithm,compute,0,-1,3
algorithm,compute,0,0,31
algorithm,compute,1,1,1
algorithm,computer,-1,-1,65
algorithm,computer,-1,0,22
algorithm,computer,0,-1,7
algorithm,computer,0,0,200
algorithm,computer,0,1,5
algorithm,computer,1,1,3
algorithm,confuse,-1,-1,1
algorithm,datum,-1,-1,4
algorithm,datum,-1,0,5
algorithm,datum,-1,1,1
algorithm,datum,0,-1,3
algorithm,datum,0,0,71
algorithm,datum,0,1,1
algorithm,effective,0,0,1
algorithm,efficiency,-1,-1,1
algorithm,efficiency,-1,0,6
algorithm,efficiency,-1,1,1
algorithm,efficiency,0,-1,1
algorithm,efficiency,0,0,40
algorithm,efficiency,0,1,4
algorithm,efficiency,1,1,4
algorithm,efficient,-1,0,1
algorithm,efficient,0,0,9
algorithm,efficient,0,1,4
algorithm,efficient,1,1,1
algorithm,hard,-1,-1,1
algorithm,informatic,-1,-1,12
algorithm,informatic,-1,0,5
algorithm,informatic,0,-1,4
algorithm,informatic,0,0,49
algorithm,informatic,0,1,2
algorithm,llm,0,0,2
algorithm,logic,-1,-1,62
algorithm,logic,-1,0,159
algorithm,logic,-1,1,12
algorithm,logic,0,-1,40
algorithm,logic,0,0,762
algorithm,logic,0,1,62
algorithm,logic,1,-1,3
algorithm,logic,1,0,7
algorithm,logic,1,1,22
algorithm,math,-1,-1,42
algorithm,math,-1,0,17
algorithm,math,-1,1,1
algorithm,math,0,-1,47
algorithm,math,0,0,95
algorithm,math,0,1,4
algorithm,math,1,-1,1
algorithm,math,1,0,1
algorithm,math,1,1,3
algorithm,mathematic,-1,-1,31
algorithm,mathematic,-1,0,6
algorithm,mathematic,-1,1,2
algorithm,mathematic,0,-1,32
algorithm,mathematic,0,0,79
algorithm,mathematic,0,1,3
algorithm,mathematic,1,0,1
algorithm,mathematic,1,1,2
algorithm,maths,-1,-1,16
algorithm,maths,-1,0,7
algorithm,maths,-1,1,1
algorithm,maths,0,-1,12
algorithm,maths,0,0,25
algorithm,maths,0,1,15
algorithm,maths,1,1,1
algorithm,model,-1,-1,1
algorithm,model,0,0,7
algorithm,number,0,0,1
algorithm,physics,0,0,1
algorithm,problem,-1,-1,54
algorithm,problem,-1,0,2
algorithm,problem,0,-1,84
algorithm,problem,0,0,37
algorithm,problem,1,-1,1
algorithm,problem - solve,-1,-1,1
algorithm,problem - solve,-1,0,26
algorithm,problem - solve,0,0,46
algorithm,problem - solve,0,1,17
algorithm,procedure,0,0,4
algorithm,process,0,0,1
algorithm,programming,-1,-1,2
algorithm,programming,-1,0,1
algorithm,programming,0,-1,2
algorithm,programming,0,0,23
algorithm,programming,0,1,1
algorithm,proof,0,0,2
algorithm,puzzle,0,0,1
algorithm,science,-1,-1,2
algorithm,science,-1,0,10
algorithm,science,0,0,20
algorithm,science,0,1,1
algorithm,science,1,1,1
algorithm,solution,-1,-1,5
algorithm,solution,-1,0,102
algorithm,solution,-1,1,24
algorithm,solution,0,-1,10
algorithm,solution,0,0,527
algorithm,solution,0,1,195
algorithm,solution,1,-1,1
algorithm,solution,1,0,6
algorithm,solution,1,1,18
algorithm,solve,-1,-1,2
algorithm,solve,-1,0,11
algorithm,solve,0,-1,4
algorithm,solve,0,0,63
algorithm,solve,0,1,2
algorithm,solve,1,-1,1
algorithm,solve,1,0,1
algorithm,step,-1,-1,21
algorithm,step,-1,0,7
algorithm,step,0,-1,69
algorithm,step,0,0,78
algorithm,step,1,-1,7
algorithm,tech,0,0,1
algorithm,variable,0,0,1
anxiety,art,-1,-1,1
anxiety,biology,-1,-1,1
anxiety,career,-1,0,1
anxiety,chemistry,-1,-1,2
anxiety,classroom,-1,-1,1
anxiety,concern,-1,-1,1
anxiety,exam,-1,-1,97
anxiety,exam,-1,0,3
anxiety,experiment,-1,0,2
anxiety,failure,-1,-1,29
anxiety,fear,-1,-1,662
anxiety,fear,0,-1,1
anxiety,future,-1,-1,1
anxiety,future,-1,0,5
anxiety,future,-1,1,1
anxiety,grade,-1,-1,2
anxiety,grade,-1,0,5
anxiety,homework,-1,-1,9
anxiety,homework,-1,0,2
anxiety,job,-1,-1,1
anxiety,job,-1,0,2
anxiety,mathematic,-1,-1,1
anxiety,nerve,-1,-1,5
anxiety,nervous,-1,-1,776
anxiety,nervousness,-1,-1,42
anxiety,number,-1,-1,1
anxiety,overwhelm,-1,-1,5
anxiety,overwhelmed,-1,-1,12
anxiety,panic,-1,-1,3
anxiety,pressure,-1,-1,34
anxiety,problem,-1,-1,1
anxiety,proof,-1,0,1
anxiety,sad,-1,-1,1
anxiety,stress,-1,-1,1940
anxiety,stress,0,-1,1
anxiety,student,-1,0,1
anxiety,study,-1,0,3
anxiety,uncertainty,-1,-1,76
anxiety,uncertainty,0,-1,1
anxiety,work,-1,-1,1
anxiety,work,-1,0,5
anxiety,worry,-1,-1,1819
art,abstract,-1,-1,1
art,aesthetic,0,0,1
art,appreciation,-1,0,1
art,appreciation,0,0,4
art,artistic,0,0,1
art,baking,-1,0,1
art,beautiful,-1,0,2
art,beautiful,0,0,1
art,beautiful,0,1,5
art,beautiful,1,1,21
art,beauty,-1,-1,2
art,beauty,-1,0,42
art,beauty,-1,1,9
art,beauty,0,0,104
art,beauty,0,1,90
art,beauty,1,-1,6
art,beauty,1,0,12
art,beauty,1,1,752
art,blackboard,-1,0,1
art,bore,-1,-1,1
art,boredom,-1,-1,2
art,chemistry,-1,-1,1
art,cinema,0,1,1
art,classroom,-1,0,2
art,color,-1,0,5
art,color,0,0,4
art,color,1,0,6
art,color,1,1,7
art,colorful,-1,0,1
art,cook,1,1,1
art,create,-1,0,1
art,create,0,0,3
art,create,0,1,1
art,create,1,1,9
art,creative,-1,0,15
art,creative,-1,1,2
art,creative,0,0,14
art,creative,0,1,11
art,creative,1,-1,1
art,creative,1,0,1
art,creative,1,1,74
art,creativity,-1,-1,12
art,creativity,-1,0,137
art,creativity,-1,1,33
art,creativity,0,0,203
art,creativity,0,1,170
art,creativity,1,-1,1
art,creativity,1,0,34
art,creativity,1,1,1167
art,culture,-1,0,1
art,culture,0,0,2
art,culture,1,0,2
art,culture,1,1,1
art,design,-1,-1,4
art,design,-1,0,1
art,design,0,0,2
art,draw,-1,-1,1
art,draw,-1,0,2
art,draw,0,0,4
art,draw,1,1,5
art,emotion,0,0,1
art,enjoyment,-1,1,1
art,equation,1,0,1
art,express,0,0,4
art,express,0,1,1
art,express,1,0,2
art,express,1,1,6
art,expression,-1,-1,17
art,expression,-1,0,110
art,expression,-1,1,10
art,expression,0,0,243
art,expression,0,1,41
art,expression,1,-1,15
art,expression,1,0,203
art,expression,1,1,750
art,gallery,-1,-1,10
art,gallery,-1,0,5
art,gallery,0,-1,2
art,gallery,0,0,9
art,gallery,1,0,6
art,history,-1,-1,1
art,history,-1,0,1
art,history,1,0,5
art,history,1,1,2
art,inspiration,0,1,1
art,inspiration,1,0,1
art,inspiration,1,1,1
art,inspire,1,1,1
art,literature,-1,-1,5
art,literature,-1,0,1
art,literature,-1,1,1
art,literature,0,0,3
art,literature,0,1,1
art,literature,1,0,2
art,literature,1,1,3
art,maths,1,1,1
art,museum,-1,-1,1
art,museum,-1,0,1
art,museum,0,0,10
art,museum,1,0,3
art,museum,1,1,1
art,music,-1,-1,1
art,music,-1,0,5
art,music,-1,1,3
art,music,0,0,13
art,music,0,1,13
art,music,1,0,3
art,music,1,1,31
art,novel,1,1,1
art,paint,-1,-1,85
art,paint,-1,0,32
art,paint,-1,1,4
art,paint,0,-1,2
art,paint,0,0,204
art,paint,0,1,6
art,paint,1,-1,2
art,paint,1,0,206
art,paint,1,1,369
art,painting,-1,-1,1
art,painting,0,0,3
art,painting,1,0,2
art,painting,1,1,2
art,philosophy,-1,-1,1
art,philosophy,1,0,2
art,philosophy,1,1,3
art,photography,-1,0,1
art,photography,0,0,2
art,photography,0,1,1
art,photography,1,1,3
art,physics,1,1,2
art,sculpt,0,0,1
art,sculpture,-1,-1,11
art,sculpture,-1,0,1
art,sculpture,0,-1,1
art,sculpture,0,0,27
art,sculpture,1,-1,1
art,sculpture,1,0,32
art,sculpture,1,1,25
art,society,1,0,1
art,subjective,-1,-1,1
art,yoga,-1,0,1
art,yoga,1,1,1
biology,animal,-1,0,1
biology,anxiety,-1,-1,1
biology,bore,-1,-1,10
biology,bore,0,-1,1
biology,cell,-1,-1,172
biology,cell,-1,0,112
biology,cell,0,-1,152
biology,cell,0,0,923
biology,cell,1,-1,12
biology,cell,1,0,207
biology,cell,1,1,48
biology,chemistry,-1,-1,4
biology,chemistry,0,0,6
biology,chemistry,0,1,2
biology,chemistry,1,-1,1
biology,chemistry,1,0,2
biology,chemistry,1,1,2
biology,classroom,-1,0,1
biology,classroom,0,0,3
biology,complex,-1,-1,3
biology,complex,0,-1,1
biology,complexity,-1,-1,3
biology,complexity,-1,0,2
biology,complexity,0,-1,1
biology,complexity,0,0,1
biology,curious,0,0,1
biology,darwin,0,1,1
biology,datum,-1,0,1
biology,difficult,-1,-1,2
biology,discovery,0,1,2
biology,discovery,1,1,1
biology,disease,-1,-1,3
biology,disinterest,-1,-1,1
biology,dislike,-1,-1,2
biology,dna,-1,-1,1
biology,dna,-1,0,4
biology,dna,0,0,5
biology,dna,0,1,1
biology,dna,1,0,2
biology,ecology,-1,0,1
biology,ecology,0,0,2
biology,ecosystem,-1,-1,6
biology,ecosystem,-1,0,15
biology,ecosystem,0,-1,1
biology,ecosystem,0,0,67
biology,ecosystem,0,1,1
biology,ecosystem,1,0,15
biology,ecosystem,1,1,5
biology,evolution,-1,-1,10
biology,evolution,-1,0,9
biology,evolution,0,-1,39
biology,evolution,0,0,256
biology,evolution,0,1,16
biology,evolution,1,-1,13
biology,evolution,1,0,52
biology,evolution,1,1,12
biology,exam,-1,-1,11
biology,exam,0,-1,2
biology,experiment,-1,-1,7
biology,experiment,-1,0,18
biology,experiment,0,-1,1
biology,experiment,0,0,38
biology,experiment,1,0,7
biology,experiment,1,1,1
biology,future,-1,0,1
biology,genetic,-1,-1,5
biology,genetic,-1,0,4
biology,genetic,0,-1,7
biology,genetic,0,0,12
biology,genetic,1,-1,1
biology,genetic,1,0,1
biology,genetic,1,1,2
biology,hard,-1,-1,1
biology,health,0,0,1
biology,history,-1,-1,2
biology,informatic,-1,0,1
biology,interest,0,0,18
biology,interest,0,1,1
biology,interest,1,0,1
biology,interest,1,1,13
biology,knowledge,0,0,1
biology,knowledge,1,1,2
biology,lab,-1,-1,1
biology,laboratory,0,0,1
biology,learn,-1,0,1
biology,learn,0,0,9
biology,learn,0,1,1
biology,learn,1,1,3
biology,life,-1,-1,19
biology,life,-1,0,220
biology,life,-1,1,82
biology,life,0,-1,1
biology,life,0,0,461
biology,life,0,1,808
biology,life,1,0,7
biology,life,1,1,316
biology,maths,0,1,1
biology,microscope,-1,-1,2
biology,microscope,-1,0,1
biology,microscope,0,0,4
biology,nature,-1,-1,3
biology,nature,-1,0,44
biology,nature,-1,1,12
biology,nature,0,0,143
biology,nature,0,1,121
biology,nature,1,0,2
biology,nature,1,1,54
biology,organism,-1,-1,21
biology,organism,-1,0,10
biology,organism,0,-1,6
biology,organism,0,0,72
biology,organism,1,0,4
biology,organism,1,1,6
biology,physics,-1,0,1
biology,physics,0,-1,1
biology,physics,0,0,1
biology,plant,-1,-1,2
biology,plant,-1,0,4
biology,plant,0,0,2
biology,research,-1,0,1
biology,research,0,0,17
biology,research,0,1,2
biology,science,-1,-1,20
biology,science,-1,0,108
biology,science,-1,1,7
biology,science,0,-1,5
biology,science,0,0,409
biology,science,0,1,61
biology,science,1,0,54
biology,science,1,1,59
biology,scientist,-1,0,1
biology,society,1,0,1
biology,stem,-1,0,1
biology,stem,0,0,1
biology,stem,1,0,1
biology,study,-1,-1,1
biology,study,-1,0,3
biology,study,0,0,22
biology,study,0,1,1
biology,study,1,0,7
biology,teacher,-1,0,1
blackboard,chalk,-1,-1,335
blackboard,chalk,-1,0,5
blackboard,chalk,0,-1,239
blackboard,chalk,0,0,237
blackboard,chalk,1,-1,2
blackboard,chalk,1,0,1
blackboard,class,-1,-1,74
blackboard,class,-1,0,31
blackboard,class,0,-1,2
blackboard,class,0,0,280
blackboard,class,0,1,1
blackboard,classroom,-1,-1,277
blackboard,classroom,-1,0,192
blackboard,classroom,-1,1,5
blackboard,classroom,0,-1,14
blackboard,classroom,0,0,832
blackboard,classroom,0,1,17
blackboard,classroom,1,1,1
blackboard,diagram,0,0,1
blackboard,education,-1,0,4
blackboard,education,-1,1,1
blackboard,education,0,0,17
blackboard,education,0,1,8
blackboard,education,1,1,1
blackboard,equation,-1,0,2
blackboard,equation,0,0,6
blackboard,grade,0,0,1
blackboard,history,-1,-1,1
blackboard,idea,-1,0,1
blackboard,idea,-1,1,1
blackboard,idea,0,0,1
blackboard,idea,0,1,1
blackboard,learn,-1,-1,2
blackboard,learn,-1,0,27
blackboard,learn,-1,1,6
blackboard,learn,0,0,85
blackboard,learn,0,1,42
blackboard,lecture,-1,-1,22
blackboard,lecture,0,-1,2
blackboard,lecture,0,0,58
blackboard,lesson,-1,-1,59
blackboard,lesson,-1,0,77
blackboard,lesson,-1,1,2
blackboard,lesson,0,-1,4
