cue_word,association_word,cue_valence,associated_valence,weight
ai,advanced,0.0,0,17
ai,advanced,0.0,1,13
ai,advanced,1.0,1,1
ai,advancement,0.0,0,1
ai,algorithm,-1.0,-1,2
ai,algorithm,0.0,-1,2
ai,algorithm,0.0,0,13
ai,algorithm,1.0,0,2
ai,algorithm,1.0,1,1
ai,amazing,0.0,0,1
ai,amazing,0.0,1,3
ai,amazing,1.0,1,1
ai,anxiety,-1.0,-1,1
ai,anxiety,0.0,-1,10
ai,anxiety,0.0,0,2
ai,artificial,-1.0,-1,1
ai,artificial,0.0,-1,6
ai,artificial,0.0,0,5
ai,artificial - intelligence,0.0,0,1
ai,artificial intelligence,0.0,0,1
ai,artificial intelligence,1.0,1,1
ai,assistance,0.0,0,2
ai,assistance,0.0,1,1
ai,assistant,0.0,0,2
ai,automate,0.0,-1,3
ai,automate,0.0,0,5
ai,automate,1.0,0,1
ai,automation,-1.0,-1,75
ai,automation,-1.0,0,9
ai,automation,0.0,-1,279
ai,automation,0.0,0,279
ai,automation,0.0,1,3
ai,automation,1.0,-1,2
ai,automation,1.0,0,4
ai,bias,-1.0,-1,2
ai,bias,0.0,-1,1
ai,biased,0.0,-1,1
ai,bore,0.0,-1,1
ai,career,0.0,0,2
ai,change,-1.0,-1,1
ai,change,-1.0,0,2
ai,change,0.0,-1,1
ai,change,0.0,0,14
ai,change,0.0,1,1
ai,chat,0.0,0,8
ai,chatbot,-1.0,-1,3
ai,chatbot,-1.0,0,1
ai,chatbot,0.0,-1,7
ai,chatbot,0.0,0,9
ai,chatbot,1.0,0,1
ai,chatgpt,-1.0,-1,1
ai,chatgpt,0.0,-1,2
ai,chatgpt,0.0,0,28
ai,chatgpt,0.0,1,1
ai,chatgpt,1.0,1,2
ai,cheat,0.0,-1,1
ai,cod,0.0,0,1
ai,cod,0.0,1,1
ai,cod,1.0,-1,1
ai,code,-1.0,0,1
ai,code,0.0,-1,4
ai,code,0.0,0,23
ai,cold,0.0,-1,1
ai,complex,-1.0,-1,3
ai,complex,-1.0,0,2
ai,complex,0.0,-1,22
ai,complex,0.0,0,30
ai,complex,0.0,1,1
ai,complex,1.0,-1,1
ai,complexity,-1.0,-1,4
ai,complexity,-1.0,0,1
ai,complexity,0.0,-1,10
ai,complexity,0.0,0,6
ai,complicated,-1.0,-1,1
ai,computation,0.0,0,10
ai,compute,0.0,1,1
ai,computer,-1.0,-1,4
ai,computer,0.0,0,11
ai,computer science,0.0,0,1
ai,concern,-1.0,-1,6
ai,concern,0.0,-1,20
ai,concern,0.0,0,1
ai,concern,1.0,-1,2
ai,confuse,-1.0,-1,3
ai,confuse,0.0,-1,7
ai,confuse,0.0,0,2
ai,confusion,0.0,-1,1
ai,controversial,-1.0,-1,3
ai,controversial,0.0,-1,6
ai,cool,0.0,0,3
ai,cool,0.0,1,2
ai,cool,1.0,1,1
ai,creativity,0.0,0,5
ai,creativity,0.0,1,2
ai,creativity,1.0,0,1
ai,creepy,0.0,-1,2
ai,danger,0.0,-1,1
ai,dangerous,-1.0,-1,2
ai,datum,-1.0,0,1
ai,datum,0.0,0,10
ai,datum,1.0,0,1
ai,development,0.0,0,1
ai,disruption,0.0,-1,1
ai,disruptive,0.0,-1,2
ai,efficiency,-1.0,0,2
ai,efficiency,-1.0,1,1
ai,efficiency,0.0,0,8
ai,efficient,-1.0,0,1
ai,efficient,-1.0,1,4
ai,efficient,0.0,0,9
ai,efficient,0.0,1,16
ai,ethic,-1.0,-1,11
ai,ethic,-1.0,0,4
ai,ethic,0.0,-1,20
ai,ethic,0.0,0,28
ai,ethical,-1.0,-1,1
ai,ethical,-1.0,0,2
ai,ethical,0.0,-1,1
ai,ethical,0.0,0,21
ai,ethical,0.0,1,4
ai,evolve,0.0,0,1
ai,excitement,0.0,0,1
ai,exciting,0.0,1,1
ai,experiment,0.0,0,1
ai,fascinating,0.0,0,4
ai,fascinating,0.0,1,4
ai,fascinating,1.0,1,1
ai,fast,-1.0,-1,1
ai,fast,-1.0,0,1
ai,fast,-1.0,1,1
ai,fast,0.0,0,11
ai,fast,0.0,1,2
ai,fast,1.0,1,1
ai,fear,-1.0,-1,35
ai,fear,0.0,-1,98
ai,fear,0.0,0,5
ai,fearful,-1.0,-1,3
ai,fearful,0.0,-1,7
ai,frighten,-1.0,-1,2
ai,frighten,0.0,-1,1
ai,future,-1.0,-1,46
ai,future,-1.0,0,126
ai,future,-1.0,1,6
ai,future,0.0,-1,66
ai,future,0.0,0,988
ai,future,0.0,1,128
ai,future,1.0,-1,1
ai,future,1.0,0,28
ai,future,1.0,1,20
ai,future - orient,0.0,0,1
ai,futuristic,0.0,0,2
ai,genius,0.0,1,1
ai,help,-1.0,0,1
ai,help,0.0,0,11
ai,help,0.0,1,3
ai,help,1.0,1,1
ai,helper,0.0,0,1
ai,helper,0.0,1,2
ai,helpful,-1.0,0,2
ai,helpful,-1.0,1,2
ai,helpful,0.0,0,17
ai,helpful,0.0,1,21
ai,helpful,1.0,1,6
ai,homework,0.0,-1,1
ai,hope,-1.0,0,1
ai,hope,0.0,1,1
ai,impact,0.0,0,1
ai,important,0.0,1,1
ai,impressive,0.0,1,1
ai,informatic,-1.0,-1,1
ai,informatic,0.0,-1,1
ai,informatic,0.0,0,4
ai,innovation,-1.0,0,4
ai,innovation,-1.0,1,8
ai,innovation,0.0,0,28
ai,innovation,0.0,1,40
ai,innovation,1.0,1,1
ai,innovative,-1.0,0,1
ai,innovative,-1.0,1,5
ai,innovative,0.0,0,5
ai,innovative,0.0,1,16
ai,innovative,1.0,1,1
ai,intelligence,-1.0,-1,2
ai,intelligence,-1.0,0,34
ai,intelligence,-1.0,1,10
ai,intelligence,0.0,0,272
ai,intelligence,0.0,1,199
ai,intelligence,1.0,0,1
ai,intelligence,1.0,1,10
ai,intelligent,0.0,0,9
ai,intelligent,0.0,1,5
ai,intelligent,1.0,0,1
ai,intelligent,1.0,1,2
ai,interest,0.0,0,2
ai,interest,1.0,1,1
ai,interested,1.0,1,1
ai,job,-1.0,-1,4
ai,job,0.0,-1,7
ai,job,0.0,0,18
ai,job,1.0,0,1
ai,knowledge,0.0,0,1
ai,learn,-1.0,0,2
ai,learn,-1.0,1,1
ai,learn,0.0,0,50
ai,learn,0.0,1,17
ai,learn,1.0,0,2
ai,llm,-1.0,-1,4
ai,llm,-1.0,0,1
ai,llm,0.0,-1,2
ai,llm,0.0,0,32
ai,llm,1.0,0,4
ai,llm,1.0,1,1
ai,logic,0.0,0,5
ai,logic,0.0,1,1
ai,machine,-1.0,-1,5
ai,machine,0.0,-1,9
ai,machine,0.0,0,23
ai,machine,1.0,0,1
ai,magic,0.0,0,4
ai,magic,0.0,1,2
ai,math,0.0,1,1
ai,model,-1.0,0,1
ai,model,0.0,0,8
ai,model,0.0,1,1
ai,model,1.0,0,2
ai,modern,0.0,0,1
ai,mysterious,0.0,0,3
ai,mysterious,1.0,0,1
ai,mystery,0.0,-1,3
ai,mystery,0.0,0,8
ai,neural,0.0,-1,1
ai,neural,0.0,0,1
ai,neutral,-1.0,0,1
ai,neutral,0.0,-1,2
ai,neutral,0.0,0,2
ai,new,-1.0,-1,1
ai,new,0.0,0,1
ai,new,0.0,1,1
