cue_word,association_word,cue_valence,associated_valence,weight
ai,accessibility,-1,-1,1
ai,accuracy,0,0,1
ai,adaptive,0,-1,2
ai,adaptive,0,0,3
ai,adaptive,1,0,1
ai,advanced,-1,0,1
ai,advanced,0,0,14
ai,advanced,0,1,1
ai,algorithm,-1,-1,2
ai,algorithm,-1,0,3
ai,algorithm,-1,1,2
ai,algorithm,0,-1,2
ai,algorithm,0,0,63
ai,algorithm,0,1,5
ai,algorithm,1,0,4
ai,algorithm,1,1,2
ai,analysis,0,0,1
ai,anxiety,-1,0,1
ai,anxiety,0,0,1
ai,art,-1,1,1
ai,automate,0,-1,2
ai,automate,0,0,1
ai,automation,-1,-1,46
ai,automation,-1,0,71
ai,automation,-1,1,9
ai,automation,0,-1,455
ai,automation,0,0,706
ai,automation,0,1,11
ai,automation,1,-1,16
ai,automation,1,0,22
ai,automation,1,1,1
ai,autonomous,0,0,1
ai,autonomous,1,-1,1
ai,autonomy,-1,-1,1
ai,autonomy,0,-1,1
ai,baking,-1,0,1
ai,bias,-1,-1,3
ai,bias,0,-1,3
ai,biology,0,-1,1
ai,blackboard,0,-1,1
ai,calculation,0,0,1
ai,capability,0,0,2
ai,capable,0,0,3
ai,change,-1,-1,2
ai,change,-1,0,2
ai,change,0,-1,18
ai,change,0,0,9
ai,chat,0,-1,1
ai,chat,0,0,1
ai,chatbot,-1,-1,1
ai,chatbot,0,-1,3
ai,chatbot,0,0,4
ai,chatgpt,-1,-1,4
ai,chatgpt,-1,0,2
ai,chatgpt,0,-1,6
ai,chatgpt,0,0,80
ai,chatgpt,0,1,3
ai,chatgpt,1,-1,2
ai,chatgpt,1,0,5
ai,chatgpt,1,1,10
ai,cod,0,-1,1
ai,cod,0,0,1
ai,code,1,0,1
ai,complex,-1,-1,1
ai,complex,0,-1,8
ai,complex,0,0,2
ai,complexity,0,-1,3
ai,computation,-1,0,3
ai,computation,-1,1,1
ai,computation,0,-1,2
ai,computation,0,0,41
ai,computation,1,0,4
ai,computation,1,1,3
ai,computational,0,0,1
ai,compute,0,0,2
ai,compute,0,1,1
ai,compute,1,0,1
ai,computer,-1,-1,1
ai,computer,-1,0,2
ai,computer,0,0,5
ai,computer,0,1,1
ai,computer,1,1,1
ai,computer science,1,1,1
ai,concern,-1,-1,9
ai,concern,0,-1,3
ai,concern,0,0,1
ai,control,-1,-1,4
ai,control,-1,0,2
ai,control,0,-1,24
ai,control,0,0,7
ai,convenience,-1,1,1
ai,convenience,0,1,1
ai,convenient,0,0,1
ai,convenient,0,1,1
ai,creation,0,0,1
ai,creativity,-1,0,3
ai,creativity,0,-1,2
ai,creativity,0,0,9
ai,creativity,1,-1,1
ai,datum,-1,-1,4
ai,datum,-1,0,17
ai,datum,-1,1,2
ai,datum,0,-1,12
ai,datum,0,0,146
ai,datum,0,1,6
ai,datum,1,0,5
ai,datum,1,1,4
ai,deception,-1,-1,1
ai,decision,0,-1,11
ai,decision,0,0,29
ai,decision,1,-1,1
ai,decision,1,0,1
ai,decision - make,0,0,2
ai,dependence,-1,-1,1
ai,develop,0,0,1
ai,development,-1,-1,1
ai,development,-1,0,1
ai,development,0,-1,1
ai,development,0,0,9
ai,digital,0,-1,1
ai,digital,0,0,1
ai,efficiency,-1,-1,2
ai,efficiency,-1,0,24
ai,efficiency,-1,1,5
ai,efficiency,0,-1,1
ai,efficiency,0,0,151
ai,efficiency,0,1,24
ai,efficiency,1,1,1
ai,efficient,0,-1,2
ai,efficient,0,0,22
ai,equation,0,1,1
ai,equation,1,0,1
ai,error,0,0,1
ai,ethic,0,-1,2
ai,ethic,0,0,1
ai,ethical,0,-1,1
ai,evolution,0,-1,3
ai,evolution,0,0,5
ai,evolution,1,0,1
ai,evolve,-1,0,1
ai,evolve,0,0,3
ai,experiment,0,0,2
ai,fast,0,0,1
ai,fear,0,-1,1
ai,future,-1,-1,3
ai,future,-1,0,18
ai,future,-1,1,2
ai,future,0,-1,15
ai,future,0,0,194
ai,future,0,1,18
ai,future,1,-1,1
ai,future,1,0,7
ai,future,1,1,6
ai,growth,0,0,4
ai,help,-1,0,1
ai,help,0,0,7
ai,help,0,1,1
ai,help,1,1,1
ai,helpful,0,0,8
ai,helpful,0,1,3
ai,history,0,0,1
ai,homework,0,-1,3
ai,impact,0,-1,1
ai,impact,0,0,1
ai,influence,0,0,1
ai,informatic,0,-1,1
ai,informatic,0,0,17
ai,informatic,1,-1,1
ai,informatic,1,0,1
ai,informatic,1,1,1
ai,information,1,0,1
ai,innovation,-1,0,6
ai,innovation,-1,1,1
ai,innovation,0,-1,1
ai,innovation,0,0,162
ai,innovation,0,1,20
ai,innovation,1,-1,1
ai,innovation,1,0,2
ai,innovation,1,1,7
ai,innovative,0,0,4
ai,innovative,0,1,3
ai,intelligence,-1,-1,11
ai,intelligence,-1,0,44
ai,intelligence,-1,1,9
ai,intelligence,0,-1,38
ai,intelligence,0,0,534
ai,intelligence,0,1,65
ai,intelligence,1,-1,1
ai,intelligence,1,0,9
ai,intelligence,1,1,16
ai,intelligent,-1,0,3
ai,intelligent,-1,1,3
ai,intelligent,0,-1,3
ai,intelligent,0,0,120
ai,intelligent,0,1,11
ai,intelligent,1,-1,1
ai,intelligent,1,0,2
ai,intelligent,1,1,2
ai,job,-1,-1,1
ai,job,0,-1,4
ai,job,0,0,2
ai,jobless,0,-1,1
ai,knit,-1,0,1
ai,knowledge,0,0,2
ai,knowledge,0,1,1
ai,learn,-1,-1,6
ai,learn,-1,0,31
ai,learn,-1,1,10
ai,learn,0,-1,16
ai,learn,0,0,630
ai,learn,0,1,32
ai,learn,1,-1,3
ai,learn,1,0,17
ai,learn,1,1,8
ai,llm,-1,-1,2
ai,llm,-1,0,2
ai,llm,0,-1,4
ai,llm,0,0,94
ai,llm,0,1,2
ai,llm,1,-1,3
ai,llm,1,0,11
ai,llm,1,1,8
ai,logic,-1,0,1
ai,logic,-1,1,1
ai,logic,0,-1,1
ai,logic,0,0,13
ai,logic,0,1,5
ai,logic,1,1,2
ai,logical,-1,1,1
ai,logical,0,-1,1
ai,logical,0,0,4
ai,logical,0,1,2
ai,machine,-1,-1,9
ai,machine,-1,0,11
ai,machine,0,-1,67
ai,machine,0,0,50
ai,machine,0,1,1
ai,machine,1,-1,4
ai,machine,1,0,3
ai,machine,1,1,1
ai,mathematic,0,0,2
ai,mind,0,-1,1
ai,model,-1,-1,1
ai,model,-1,0,5
ai,model,0,-1,3
ai,model,0,0,35
ai,model,0,1,1
ai,model,1,-1,2
ai,model,1,0,5
ai,model,1,1,2
ai,network,-1,-1,1
ai,network,0,-1,1
ai,network,0,0,2
ai,neural,0,-1,1
ai,number,-1,0,2
ai,number,0,0,6
ai,pattern,-1,0,1
ai,pattern,0,0,14
ai,pattern,1,0,2
ai,philosophy,-1,-1,1
ai,physics,0,0,1
ai,potential,-1,0,1
ai,potential,0,0,16
ai,potential,0,1,5
ai,power,-1,0,5
ai,power,0,-1,4
ai,power,0,0,17
ai,power,0,1,3
ai,powerful,-1,0,3
ai,powerful,0,0,8
ai,powerful,0,1,2
ai,problem,0,-1,1
ai,problem,0,0,2
ai,problem - solve,0,0,15
ai,problem - solve,0,1,4
ai,process,1,1,1
ai,processing,0,0,4
ai,programming,1,-1,1
ai,progress,0,0,21
ai,progress,0,1,2
ai,progressive,0,0,1
ai,proof,1,1,1
ai,question,-1,-1,1
ai,reliability,0,-1,1
ai,reliability,0,0,3
ai,replace,0,-1,1
ai,replacement,0,-1,1
ai,research,0,0,1
ai,risk,-1,-1,5
ai,risk,0,-1,6
ai,robot,0,-1,6
ai,robot,0,0,6
ai,robot,1,-1,1
ai,robotic,0,-1,6
ai,robotic,0,0,3
ai,robotic,1,0,1
ai,science,0,0,11
ai,science,0,1,1
ai,skill,0,0,1
ai,smart,-1,0,2
ai,smart,-1,1,4
ai,smart,0,0,44
ai,smart,0,1,11
ai,smart,1,0,1
ai,smart,1,1,1
ai,society,0,-1,1
ai,software,1,0,1
ai,solution,0,0,1
ai,speed,0,0,5
ai,speed,0,1,3
ai,stem,0,-1,1
ai,study,-1,0,1
ai,study,0,-1,2
ai,study,1,-1,1
ai,study,1,1,1
ai,success,0,0,5
ai,success,0,1,2
ai,system,-1,-1,2
ai,system,-1,0,1
ai,system,0,-1,2
ai,system,0,0,5
ai,system,1,-1,1
ai,task,0,0,1
ai,teamwork,0,0,1
ai,tech,0,0,3
ai,technology,-1,-1,5
ai,technology,-1,0,51
ai,technology,-1,1,21
ai,technology,0,-1,3
ai,technology,0,0,548
ai,technology,0,1,135
ai,technology,1,0,14
ai,technology,1,1,23
ai,think,-1,-1,3
ai,think,0,-1,1
ai,think,0,0,5
ai,threat,0,-1,1
ai,tool,-1,0,2
ai,tool,-1,1,1
ai,tool,0,-1,1
ai,tool,0,0,11
ai,tool,0,1,4
ai,tool,1,0,2
ai,transformative,0,0,2
ai,uncertain,-1,-1,1
ai,uncertain,0,-1,1
ai,uncertainty,0,-1,3
ai,useful,0,0,1
ai,useful,0,1,2
ai,utility,-1,0,1
ai,utility,0,0,4
ai,utility,0,1,1
ai,work,0,-1,4
ai,work,0,0,14
ai,work,1,-1,1
algorithm,accuracy,0,0,1
algorithm,accuracy,0,1,1
algorithm,ai,-1,-1,2
algorithm,ai,-1,0,3
algorithm,ai,0,-1,3
algorithm,ai,0,0,66
algorithm,ai,0,1,4
algorithm,ai,1,-1,2
algorithm,ai,1,0,5
algorithm,ai,1,1,2
algorithm,anxiety,0,0,1
algorithm,art,0,0,1
algorithm,automate,0,-1,1
algorithm,automation,-1,-1,1
algorithm,automation,0,-1,16
algorithm,automation,0,0,21
algorithm,automation,0,1,3
algorithm,automation,1,1,1
