run_id,age,gender,sexual_orientation,city_of_living,employment_status,education_level,marital_status,children,migration_status,religious_beliefs,parent_1_education,parent_2_education,hobbies,fav_subjects,hat_subjects,ocean_openness_score,ocean_openness_level,ocean_conscientiousness_score,ocean_conscientiousness_level,ocean_extraversion_score,ocean_extraversion_level,ocean_agreeableness_score,ocean_agreeableness_level,ocean_neuroticism_score,ocean_neuroticism_level,Model,mode,amas_score,maes_score,mseaq_anx,mseaq_se,total_correct,n_observations,confidence,accuracy,confidence_scaled,delta_confidence,math_lover_flg,math_hater_flg
625b014336,23,man,heterosexual,Los Angeles,employed full-time,lower secondary,single,0,native-born American,Agnostic,bachelor's degree,bachelor's degree,"running, birdwatching, football (calcio), gardening","maths, economics","history, philosophy",89,high,93,high,69,high,8,low,73,high,Mistral Small 4,human,36,39,68,35,12,18,4.277777777777778,0.6666666666666666,0.6749999999999999,-0.0083333333333333,True,False
0809f4d9b6,60,woman,heterosexual,Bari,employed full-time,bachelor's degree,divorced,0,immigrant,Christianity,lower secondary,no formal education,"hiking, painting, board games","economics, biology","philosophy, literature",82,high,10,low,23,low,79,high,95,high,Mistral Small 4,human,41,33,81,22,13,18,3.7222222222222223,0.7222222222222222,0.425,0.2972222222222221,False,False
bf5c0fb4b1,25,woman,heterosexual,Bologna,unemployed,upper secondary,single,0,native-born Italian,Islam,primary school,bachelor's degree,"classical music, running, birdwatching","computer science, economics","art, physics",47,moderate,90,high,92,high,74,high,83,high,Mistral Small 4,human,41,37,80,21,12,18,3.611111111111111,0.6666666666666666,0.375,0.2916666666666666,False,False
015d22ee6d,20,woman,heterosexual,Los Angeles,full-time student,upper secondary,single,0,native-born American,Hinduism,primary school,master's degree,"videogames, cycling, football (calcio), birdwatching","biology, philosophy","physics, history",54,moderate,54,moderate,15,low,15,low,55,moderate,Mistral Small 4,human,31,27,78,22,11,18,4.0,0.6111111111111112,0.55,0.0611111111111111,False,False
459ed72a52,30,genderqueer,heterosexual,Washington DC,employed full-time,bachelor's degree,single,0,native-born American,Hinduism,no formal education,no formal education,"travel, board games, cinema","history, physics","computer science, chemistry",68,high,77,high,39,moderate,46,moderate,83,high,Mistral Small 4,human,36,36,81,21,12,18,4.111111111111111,0.6666666666666666,0.5999999999999999,0.0666666666666667,False,False
257a824857,28,man,heterosexual,Philadelphia,employed full-time,master's degree,in a relationship,0,native-born American,Christianity,upper secondary,bachelor's degree,"knitting, running, volunteering, cinema","physics, computer science","philosophy, history",45,moderate,60,moderate,9,low,66,moderate,44,moderate,Mistral Small 4,human,34,36,49,34,14,18,3.6666666666666665,0.7777777777777778,0.3999999999999999,0.3777777777777778,False,False
b312f05cc2,18,woman,heterosexual,Lecce,unemployed,upper secondary,in a relationship,0,native-born Italian,Atheist,bachelor's degree,bachelor's degree,"football (calcio), classical music, videogames, cycling","literature, philosophy","economics, chemistry",97,high,27,low,80,high,26,low,45,moderate,Mistral Small 4,human,27,18,82,18,12,18,4.0,0.6666666666666666,0.55,0.1166666666666665,False,False
6183311ccc,20,woman,heterosexual,Naples,part-time student,upper secondary,single,0,native-born Italian,Christianity,master's degree,PhD,"board games, videogames, reading novels, baking","physics, maths","biology, literature",4,low,8,low,18,low,84,high,65,moderate,Mistral Small 4,human,39,39,46,29,12,18,3.2777777777777777,0.6666666666666666,0.2249999999999999,0.4416666666666666,True,False
4991561b28,30,woman,heterosexual,Los Angeles,unemployed,lower secondary,married,0,immigrant,Christianity,lower secondary,no formal education,"birdwatching, volunteering, gardening, cycling, hiking","literature, biology","history, art",33,moderate,45,moderate,33,moderate,81,high,77,high,Mistral Small 4,human,32,27,82,21,12,18,4.0,0.6666666666666666,0.55,0.1166666666666665,False,False
70bb2c18ea,35,woman,heterosexual,Milan,employed full-time,lower secondary,single,1,native-born Italian,Atheist,lower secondary,lower secondary,"painting, cycling, volunteering, birdwatching, hiking","computer science, history","art, physics",67,high,89,high,73,high,62,moderate,78,high,Mistral Small 4,human,31,37,80,25,13,18,3.7222222222222223,0.7222222222222222,0.425,0.2972222222222221,False,False
